web-scraper-order,web-scraper-start-url,cookies,cookies-href,category,category-href,recipe_link,recipe_link-href,ingredients,prep_time,cook_time,total_time,instructions,nutrition_facts,name,num_reviews,category_name,5star,4star,3star,2star,1star
"1520399418-512","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Gingersnaps","https://www.allrecipes.com/recipes/17794/desserts/cookies/gingersnaps/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/10852/gingersnaps-ii/?internalSource=hub%20recipe&referringId=17794&referringContentType=recipe%20hub","[{""ingredients"":""1 cup packed brown sugar""},{""ingredients"":""3/4 cup shortening""},{""ingredients"":""1/4 cup molasses""},{""ingredients"":""1 egg""},{""ingredients"":""2 1/4 cups all-purpose flour""},{""ingredients"":""2 teaspoons baking soda""},{""ingredients"":""1 teaspoon ground cinnamon""},{""ingredients"":""1 teaspoon ground ginger""},{""ingredients"":""1/2 teaspoon ground cloves""},{""ingredients"":""1/4 teaspoon salt""},{""ingredients"":""1/3 cup granulated sugar for decoration""},{""ingredients"":""Add all ingredients to list""}]","null","null","null","[{""instructions"":""Beat together brown sugar, shortening, molasses, and egg.  Stir in flour, baking soda, cinnamon, ginger, cloves, and salt.  Cover and refrigerate at least 1 hour.""},{""instructions"":""Preheat oven to 375 degrees F (190 degrees C).  Grease cookie sheet lightly.""},{""instructions"":""Shape dough by rounded teaspoons into balls.  Dip tops into white sugar.  Place balls, sugar sides up, about 3 inches apart on the cookie sheet.""},{""instructions"":""Bake 10 to 12 minutes, or just until set.  Cool on wire racks.""}]","Per Serving: 
            158 calories;
                    6.7 g fat;
                    23.4 g carbohydrates;
                    1.5 g protein;
                    8 mg cholesterol;
                    136 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Gingersnaps II","","Gingersnap Recipes","","","","",""
"1520398999-353","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Nut Cookies","https://www.allrecipes.com/recipes/850/desserts/cookies/nut-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/video/952/cranberry-pistachio-biscotti/?internalSource=hub%20recipe&referringId=850&referringContentType=recipe%20hub","[]","null","null","null","[]","null","null","","Nut Cookie Recipes","","","","",""
"1520399369-491","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","International Cookies","https://www.allrecipes.com/recipes/845/desserts/cookies/international-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/43941/gingerbread-biscotti/?internalSource=hub%20recipe&referringId=845&referringContentType=recipe%20hub","[{""ingredients"":""1/3 cup vegetable oil""},{""ingredients"":""1 cup white sugar""},{""ingredients"":""3 eggs""},{""ingredients"":""1/4 cup molasses""},{""ingredients"":""2 1/4 cups all-purpose flour""},{""ingredients"":""1 cup whole wheat flour""},{""ingredients"":""1 tablespoon baking powder""},{""ingredients"":""1 1/2 tablespoons ground ginger""},{""ingredients"":""3/4 tablespoon ground cinnamon""},{""ingredients"":""1/2 tablespoon ground cloves""},{""ingredients"":""1/4 teaspoon ground nutmeg""},{""ingredients"":""Add all ingredients to list""}]","25 m","40 m","1 h 5 m","[{""instructions"":""Preheat the oven to 375 degrees F (190 degrees C). Grease a cookie sheet.""},{""instructions"":""In a large bowl, mix together oil, sugar, eggs, and molasses. In another bowl, combine flours, baking powder, ginger, cinnamon, cloves, and nutmeg; mix into egg mixture to form a stiff dough.""},{""instructions"":""Divide dough in half, and shape each half into a roll the length of the cookie. Place rolls on cookie sheet, and pat down to flatten the dough to 1/2 inch thickness.""},{""instructions"":""Bake in preheated oven for 25 minutes. Remove from oven, and set aside to cool.""},{""instructions"":""When cool enough to touch, cut into 1/2 inch thick diagonal slices. Place sliced biscotti on cookie sheet, and bake an additional 5 to 7 minutes on each side, or until toasted and crispy.""}]","Per Serving: 
            70 calories;
                    2 g fat;
                    12.1 g carbohydrates;
                    1.4 g protein;
                    12 mg cholesterol;
                    26 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Gingerbread Biscotti","392","International Cookie Recipes","251","85","32","13","11"
"1520398683-222","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Refrigerator Cookies","https://www.allrecipes.com/recipes/854/desserts/cookies/refrigerator-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/11213/classic-butter-cookies-i/?internalSource=hub%20recipe&referringId=854&referringContentType=recipe%20hub","[{""ingredients"":""1 cup butter""},{""ingredients"":""1 1/2 cups confectioners' sugar""},{""ingredients"":""1 egg""},{""ingredients"":""1 teaspoon vanilla extract""},{""ingredients"":""2 1/2 cups all-purpose flour""},{""ingredients"":""1 teaspoon baking soda""},{""ingredients"":""1 teaspoon cream of tartar""},{""ingredients"":""1/4 teaspoon salt""},{""ingredients"":""Add all ingredients to list""}]","null","null","null","[{""instructions"":""Cream the butter in a large mixing bowl, gradually add the sugar and beat until light and fluffy. Beat in the egg and vanilla.""},{""instructions"":""Combine the flour, baking soda, cream of tartar and salt. Add the flour mixture to the creamed mixture.""},{""instructions"":""For all the types of cookie shapes preheat oven to 400 degrees F (205 degrees C) before baking. Bake all cookies on an ungreased cookie sheet.""},{""instructions"":""Shape the dough in one of the following ways: Roll out the chilled dough and cut with cookie cutters. Sprinkle with colored sugar if desired. Bake for 6 to 8 minutes.""},{""instructions"":""OR: Form dough into logs 2 inches in diameter and slice 1/8 inch thick when chilled. Sprinkle with chopped nuts, if desired, and bake for 7 to 9 minutes.""},{""instructions"":""OR:  Shape into balls and bake. Balls may be rolled in sugar mixed with cinnamon if desired. Bake for 10 to 12 minutes.""},{""instructions"":""OR:  Put unchilled dough into a cookie press and press into desired shapes chill shaped cookies before baking. Bake chilled cookies for 8 to 10 minutes.""},{""instructions"":""OR:  Add 1 cup chopped walnuts and 1/2 cup flour to dough. Chill then shape into balls and bake for 8 to10 minutes. Roll still warm cookies in confectioners' sugar. Once cool sprinkle chilled cookies with more confectioners' sugar.""}]","Per Serving: 
            37 calories;
                    2 g fat;
                    4.4 g carbohydrates;
                    0.4 g protein;
                    7 mg cholesterol;
                    34 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Classic Butter Cookies I","121","Refrigerator Cookie Recipes","75","32","8","3","3"
"1520399485-539","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Thumbprint Cookies","https://www.allrecipes.com/recipes/14691/desserts/cookies/thumbprint-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/11640/chocolate-thumbprints-ii/?internalSource=hub%20recipe&referringId=14691&referringContentType=recipe%20hub","[{""ingredients"":""1 cup butter""},{""ingredients"":""1 cup white sugar""},{""ingredients"":""2 eggs, separated""},{""ingredients"":""2 (1 ounce) squares unsweetened chocolate, melted""},{""ingredients"":""1 teaspoon vanilla extract""},{""ingredients"":""2 cups all-purpose flour""},{""ingredients"":""1/2 teaspoon salt""},{""ingredients"":""48 milk chocolate candy kisses, unwrapped""},{""ingredients"":""1/3 cup granulated sugar for decoration""},{""ingredients"":""Add all ingredients to list""}]","null","null","null","[{""instructions"":""Preheat oven to 350 degrees F (175 degrees C). Grease cookie sheets.""},{""instructions"":""In a medium bowl, cream the butter and sugar together. Stir in 2 egg yolks, melted chocolate, and vanilla.  Sift together the flour and salt; stir into the creamed mixture.""},{""instructions"":""In a small bowl, slightly beat the remaining egg whites. Roll dough into walnut sized balls. Dip balls into the egg whites, then roll in sugar (or chopped nuts if desired). Place the cookies onto the prepared cookie sheets and make a small indentation in the center with your thumb. Bake for 10 to 12 minutes in the preheated oven.  When the cookies come out, press a chocolate kiss into the center of each one.  Let stand, and then spread the chocolate candy like frosting, if desired.""}]","Per Serving: 
            215 calories;
                    12.3 g fat;
                    25.4 g carbohydrates;
                    2.6 g protein;
                    38 mg cholesterol;
                    117 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Chocolate Thumbprints II","46","Thumbprint Cookie Recipes","18","17","7","2","2"
"1520398596-187","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Shortbread Cookies","https://www.allrecipes.com/recipes/855/desserts/cookies/butter-cookies/shortbread-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/10273/heavenly-shortbread/?internalSource=hub%20recipe&referringId=855&referringContentType=recipe%20hub","[{""ingredients"":""2 cups butter, softened""},{""ingredients"":""1 cup white sugar""},{""ingredients"":""4 cups all-purpose flour""},{""ingredients"":""2 teaspoons cornstarch""},{""ingredients"":""Add all ingredients to list""}]","null","null","null","[{""instructions"":""Preheat oven to 325 degrees F (170 degrees C).""},{""instructions"":""Cream softened butter thoroughly. ( If using margarine, add four drops of butter flavoring.)  Slowly add sugar.""},{""instructions"":""Sift flour and corn starch before adding.   Mix well.  Press into an ungreased jelly roll pan 11 x 15 x 1 1/2 inches.""},{""instructions"":""Bake 30 minutes or until very light brown.  Score and cut while warm.""}]","Per Serving: 
            163 calories;
                    10.4 g fat;
                    16.3 g carbohydrates;
                    1.5 g protein;
                    27 mg cholesterol;
                    73 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Heavenly Shortbread","176","Shortbread Cookie Recipes","128","35","7","3","3"
"1520399346-481","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","International Cookies","https://www.allrecipes.com/recipes/845/desserts/cookies/international-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/9945/scottish-shortbread-ii/?internalSource=hub%20recipe&referringId=845&referringContentType=recipe%20hub","[{""ingredients"":""1 1/2 cups all-purpose flour""},{""ingredients"":""1/3 cup white sugar""},{""ingredients"":""3/4 cup butter""},{""ingredients"":""Add all ingredients to list""}]","null","null","null","[{""instructions"":""Preheat oven to 350 degrees F (180 degrees C).""},{""instructions"":""Blend all ingredients well.  Dough will be stiff.""},{""instructions"":""Press into a 9 x 9 inch buttered dish.  Prick top with a fork.""},{""instructions"":""Bake until pale golden brown on the edges. Cool and cut into squares.""}]","Per Serving: 
            180 calories;
                    11.7 g fat;
                    17.5 g carbohydrates;
                    1.7 g protein;
                    31 mg cholesterol;
                    82 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Scottish Shortbread II","275","International Cookie Recipes","198","61","8","3","5"
"1520398316-83","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Whoopie Pies","https://www.allrecipes.com/recipes/16417/desserts/cookies/whoopie-pies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/video/1054/nana-bessies-whoopie-pies/?internalSource=hub%20recipe&referringId=16417&referringContentType=recipe%20hub","[]","null","null","null","[]","null","null","","Whoopie Pie Recipes","","","","",""
"1520399264-448","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Meringue Cookies","https://www.allrecipes.com/recipes/848/desserts/cookies/meringue-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/22841/forgotten-cookies-ii/?internalSource=staff%20pick&referringId=848&referringContentType=recipe%20hub","[{""ingredients"":""2 egg whites""},{""ingredients"":""1 pinch salt""},{""ingredients"":""2/3 cup white sugar""},{""ingredients"":""1 teaspoon vanilla extract""},{""ingredients"":""1 cup semisweet chocolate chips""},{""ingredients"":""1 cup salted peanuts (optional)""},{""ingredients"":""Add all ingredients to list""}]","10 m","5 h","5 h 50 m","[{""instructions"":""Preheat oven to 350 degrees F (175 degrees C). Line cookie sheets with parchment paper or aluminum foil.""},{""instructions"":""In a large glass or metal mixing bowl, beat egg whites and salt until foamy. Gradually add sugar, continuing to beat until whites form stiff peaks. Fold in the vanilla and chocolate chips. Add peanuts if desired. Spoon onto the prepared cookie sheets.""},{""instructions"":""Place the cookies into the preheated oven, shut the door and turn off the oven immediately. Let cookies sit in the turned off oven for 5 to 6 hours or overnight.""}]","Per Serving: 
            62 calories;
                    3.4 g fat;
                    7.5 g carbohydrates;
                    1.4 g protein;
                    0 mg cholesterol;
                    41 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Forgotten Cookies II","65","Meringue Cookie Recipes","47","12","3","0","3"
"1520398789-265","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Pumpkin Cookies","https://www.allrecipes.com/recipes/968/desserts/cookies/pumpkin-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/10671/pumpkin-cookies-iii/?internalSource=staff%20pick&referringId=968&referringContentType=recipe%20hub","[{""ingredients"":""1 cup white sugar""},{""ingredients"":""1 egg""},{""ingredients"":""1 cup shortening""},{""ingredients"":""1 teaspoon vanilla extract""},{""ingredients"":""2 cups all-purpose flour""},{""ingredients"":""1 teaspoon baking soda""},{""ingredients"":""1 teaspoon baking powder""},{""ingredients"":""1 teaspoon salt""},{""ingredients"":""1 teaspoon ground cinnamon""},{""ingredients"":""1 cup canned pumpkin""},{""ingredients"":""1/2 cup raisins (optional)""},{""ingredients"":""1/2 cup chopped walnuts (optional)""},{""ingredients"":""Add all ingredients to list""}]","15 m","15 m","30 m","[{""instructions"":""Preheat oven to 350 degrees F (175 degrees C). Grease cookie sheets.""},{""instructions"":""In a large bowl, cream together sugar, egg, shortening, and vanilla. Sift together flour, baking soda, baking powder, salt, and cinnamon; stir into the creamed mixture. Stir in the pumpkin, raisins, and walnuts. Drop dough by teaspoonfuls onto the prepared cookie sheets.""},{""instructions"":""Bake 10-15 minutes in the preheated oven.""}]","Per Serving: 
            119 calories;
                    7 g fat;
                    13.6 g carbohydrates;
                    1.3 g protein;
                    5 mg cholesterol;
                    132 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Pumpkin Cookies III","109","Pumpkin Cookie Recipes","82","20","6","0","1"
"1520399289-458","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Macaroons","https://www.allrecipes.com/recipes/17019/desserts/cookies/macaroons/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/95782/coconut-macaroons-german-style/?internalSource=hub%20recipe&referringId=17019&referringContentType=recipe%20hub","[{""ingredients"":""2 3/4 cups flaked coconut, toasted""},{""ingredients"":""4 egg whites""},{""ingredients"":""1 cup white sugar""},{""ingredients"":""1 teaspoon ground cinnamon""},{""ingredients"":""1/2 teaspoon almond extract""},{""ingredients"":""Add all ingredients to list""}]","20 m","20 m","null","[{""instructions"":""Preheat the oven to 250 degrees F (120 degrees C). Line cookie sheets with parchment paper.""},{""instructions"":""In a large bowl, whip egg whites with an electric mixer until stiff enough to make a mark through with a knife. Gradually sprinkle in the sugar, cinnamon and almond extract while continuing to mix on low speed. Fold in toasted coconut by hand. Spoon or scoop onto the prepared cookie sheets.""},{""instructions"":""Bake for 20 to 25 minutes in the preheated oven, until cookies are dry and peel of the paper easily. Cool on wire racks and store in an airtight container at room temperature.""}]","","Coconut Macaroons German Style","75","Macaroon Recipes","44","17","5","5","4"
"1520398412-111","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Sugar Cookies","https://www.allrecipes.com/recipes/859/desserts/cookies/sugar-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/video/4878/soft-christmas-cookies/?internalSource=hub%20recipe&referringId=859&referringContentType=recipe%20hub","[]","null","null","null","[]","null","null","","Sugar Cookie Recipes","","","","",""
"1520398676-219","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Refrigerator Cookies","https://www.allrecipes.com/recipes/854/desserts/cookies/refrigerator-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/9894/oatmeal-crispies-i/?internalSource=hub%20recipe&referringId=854&referringContentType=recipe%20hub","[{""ingredients"":""2/3 cup shortening""},{""ingredients"":""1/3 cup butter, softened""},{""ingredients"":""1 cup packed brown sugar""},{""ingredients"":""1 cup white sugar""},{""ingredients"":""2 eggs""},{""ingredients"":""1 teaspoon vanilla extract""},{""ingredients"":""1 1/2 cups all-purpose flour""},{""ingredients"":""1 teaspoon salt""},{""ingredients"":""1 teaspoon baking soda""},{""ingredients"":""3 cups quick cooking oats""},{""ingredients"":""1 cup chopped walnuts""},{""ingredients"":""Add all ingredients to list""}]","null","null","null","[{""instructions"":""Cream together shortening, margarine, and sugars.""},{""instructions"":""Beat in eggs and vanilla.""},{""instructions"":""Mix in flour, salt, and baking soda.  Add oats and walnuts. Mix well.""},{""instructions"":""Shape into long rolls and roll in wax paper. Chill until firm.""},{""instructions"":""Preheat oven to 350 degrees F (180 degrees C).""},{""instructions"":""Slice 1/4 inch slices and place on ungreased cookie sheet.  Press with fork dipped in milk.""},{""instructions"":""Bake for 10 minutes.""}]","Per Serving: 
            163 calories;
                    8.4 g fat;
                    20.6 g carbohydrates;
                    2.3 g protein;
                    15 mg cholesterol;
                    118 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Oatmeal Crispies I","90","Refrigerator Cookie Recipes","79","7","4","0","0"
"1520399343-480","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","International Cookies","https://www.allrecipes.com/recipes/845/desserts/cookies/international-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/16520/irish-potato-candy/?internalSource=hub%20recipe&referringId=845&referringContentType=recipe%20hub","[{""ingredients"":""1/4 cup butter, softened""},{""ingredients"":""1/2 (8 ounce) package cream cheese""},{""ingredients"":""1 teaspoon vanilla extract""},{""ingredients"":""4 cups confectioners' sugar""},{""ingredients"":""2 1/2 cups flaked coconut""},{""ingredients"":""1 tablespoon ground cinnamon""},{""ingredients"":""Add all ingredients to list""}]","20 m","30 m","null","[{""instructions"":""In a medium bowl, beat the butter and cream cheese together until smooth. Add the vanilla and confectioners' sugar; beat until smooth. Using your hands if necessary, mix in the coconut. Roll into balls or potato shapes, and roll in the cinnamon. Place onto a cookie sheet and chill to set. If desired, roll potatoes in cinnamon again for darker color.""}]","Per Serving: 
            59 calories;
                    2.3 g fat;
                    9.7 g carbohydrates;
                    0.3 g protein;
                    4 mg cholesterol;
                    20 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Irish Potato Candy","271","International Cookie Recipes","170","56","29","5","11"
"1520399313-468","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Macaroons","https://www.allrecipes.com/recipes/17019/desserts/cookies/macaroons/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/25787/coconut-macaroons-iii/?internalSource=hub%20recipe&referringId=17019&referringContentType=recipe%20hub","[{""ingredients"":""2/3 cup all-purpose flour""},{""ingredients"":""5 1/2 cups flaked coconut""},{""ingredients"":""1/4 teaspoon salt""},{""ingredients"":""1 (14 ounce) can sweetened condensed milk""},{""ingredients"":""2 teaspoons vanilla extract""},{""ingredients"":""Add all ingredients to list""}]","10 m","25 m","null","[{""instructions"":""Preheat oven to 350 degrees F (175 degrees C). Line cookie sheets with parchment paper or aluminum foil.""},{""instructions"":""In a large bowl, stir together the flour, coconut and salt. Stir in the sweetened condensed milk and vanilla using your hands until well blended. Use an ice cream scoop to drop dough onto the prepared cookie sheets. Cookies should be about golf ball size.""},{""instructions"":""Bake for 12 to 15 minutes in the preheated oven, until coconut is toasted.""}]","Per Serving: 
            287 calories;
                    12.4 g fat;
                    40.7 g carbohydrates;
                    4.4 g protein;
                    11 mg cholesterol;
                    187 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Coconut Macaroons III","1370","Macaroon Recipes","988","220","85","41","36"
"1520398329-85","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Whoopie Pies","https://www.allrecipes.com/recipes/16417/desserts/cookies/whoopie-pies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/10017/whoopie-pies-ii/?internalSource=hub%20recipe&referringId=16417&referringContentType=recipe%20hub","[{""ingredients"":""1 cup shortening""},{""ingredients"":""2 cups white sugar""},{""ingredients"":""4 cups all-purpose flour""},{""ingredients"":""1 teaspoon salt""},{""ingredients"":""1 cup hot water""},{""ingredients"":""2 eggs""},{""ingredients"":""1 teaspoon vanilla extract""},{""ingredients"":""1 cup unsweetened cocoa powder""},{""ingredients"":""1 cup sour milk""},{""ingredients"":""3 teaspoons baking soda""},{""ingredients"":""2 egg whites""},{""ingredients"":""1 tablespoon vanilla extract""},{""ingredients"":""3 cups confectioners' sugar""},{""ingredients"":""4 tablespoons all-purpose flour""},{""ingredients"":""4 tablespoons milk""},{""ingredients"":""1 1/4 cups shortening""},{""ingredients"":""Add all ingredients to list""}]","null","null","null","[{""instructions"":""Preheat oven to 350 degrees F (180 degrees C).  Grease cookie sheets.""},{""instructions"":""To Make Cookie:  Cream together 1 cup shortening, 2 cups sugar, 2 eggs, and  1 teaspoon vanilla.""},{""instructions"":""Sift together 4 cups flour, 1 cup cocoa, and 1 tsp salt.  Add alternately to cream mixture with sour milk. Add  3 tsp baking soda to hot water and stir into mixture.""},{""instructions"":""Drop on cookie sheet and bake for about 7-10 minutes.""},{""instructions"":""To Make Filling:  Cream together egg whites, 1 T vanilla,  powdered sugar,   4 T flour, 4 T milk and 1 1/4 cup shortening.""},{""instructions"":""Beat together until fluffy. Spread between flat sides of cookies.""}]","Per Serving: 
            793 calories;
                    41 g fat;
                    102.4 g carbohydrates;
                    8.5 g protein;
                    32 mg cholesterol;
                    556 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Whoopie Pies II","17","Whoopie Pie Recipes","9","6","1","0","1"
"1520399227-432","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Meringue Cookies","https://www.allrecipes.com/recipes/848/desserts/cookies/meringue-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/240532/chocolate-chip-meringue-cookies/?internalSource=hub%20recipe&referringId=848&referringContentType=recipe%20hub","[{""ingredients"":""2/3 cup granulated sugar""},{""ingredients"":""2 teaspoons cornstarch""},{""ingredients"":""3 egg whites, at room temperature""},{""ingredients"":""1/2 teaspoon white vinegar""},{""ingredients"":""1/2 cup mini semi-sweet chocolate chips""},{""ingredients"":""3 tablespoons unsweetened cocoa powder""},{""ingredients"":""Garnish:""},{""ingredients"":""Cocoa powder (optional)""},{""ingredients"":""Add all ingredients to list""}]","25 m","30 m","55 m","[{""instructions"":""Preheat oven to 300 degrees F (150 degrees C). Line 2 large baking sheets with parchment paper.""},{""instructions"":""In a small bowl, whisk together sugar and cornstarch; set aside.""},{""instructions"":""In a large bowl beat egg whites with an electric mixer, until foamy. Beat in vinegar on medium speed until soft peaks form (about 2 minutes). On high speed, beat in sugar mixture, 1 tablespoon (15 mL) at a time, until stiff glossy peaks form (about 2 to 3 minutes). Fold in chocolate chips and cocoa powder, until just blended.""},{""instructions"":""Drop by tablespoonfuls (15 mL), about 1-inch (2.5 cm) apart, onto prepared baking sheets. Bake for 30 minutes or until cookies are dry to touch, rotating pans halfway through. Remove cookies from sheets and place on cooling racks. Sprinkle with cocoa powder, if desired. Cool completely. Store in airtight containers.""}]","Per Serving: 
            52 calories;
                    1.4 g fat;
                    10.2 g carbohydrates;
                    0.9 g protein;
                    0 mg cholesterol;
                    9 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Chocolate Chip Meringue Cookies","31","Meringue Cookie Recipes","22","5","2","0","2"
